,UnitID,Species,Collection_Locale,DateCollected,AssociatedMedia
1820,CAM017419,Heliconius erato ssp. notabilis x lativitta,El Capricho Km 5.7,2010913,"https://zenodo.org/record/1247307/files/CAM017419_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017419_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017419_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017419_d.JPG"
1821,CAM017420,Heliconius erato ssp. notabilis x lativitta,El Capricho Km 5.7,2010913,"https://zenodo.org/record/3082688/files/CAM017420_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017420_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017420_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017420_v.JPG"
1822,CAM017421,Heliconius erato ssp. notabilis x lativitta,El Capricho Km 5.7,2010913,"https://zenodo.org/record/1247307/files/CAM017421_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017421_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017421_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017421_v.JPG"
1823,CAM017422,Heliconius erato ssp. notabilis x lativitta,El Capricho Km 5.7,2010913,"https://zenodo.org/record/3082688/files/CAM017422_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017422_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017422_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017422_d.JPG"
1824,CAM017424,Heliconius erato ssp. notabilis x lativitta,Km35 Sendero PtaSanCristobal,2010921,"https://zenodo.org/record/1247307/files/CAM017424_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017424_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017424_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017424_d.JPG"
1825,CAM017425,Heliconius erato ssp. notabilis x lativitta,Km35 Sendero PtaSanCristobal,2010923,"https://zenodo.org/record/3082688/files/CAM017425_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017425_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017425_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017425_d.JPG"
1826,CAM017426,Heliconius erato ssp. notabilis x lativitta,Km35 Sendero PtaSanCristobal,2010923,"https://zenodo.org/record/3082688/files/CAM017426_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017426_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017426_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017426_v.JPG"
1827,CAM017427,Heliconius erato ssp. notabilis x lativitta,Km35 Sendero PtaSanCristobal,2010923,"https://zenodo.org/record/3082688/files/CAM017427_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017427_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017427_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017427_v.JPG"
1828,CAM017428,Heliconius erato ssp. lativitta,Km35 Sendero PtaSanCristobal,2010923,"https://zenodo.org/record/1247307/files/CAM017428_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017428_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017428_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017428_d.JPG"
1829,CAM017429,Heliconius erato ssp. notabilis x lativitta,Km35 Sendero PtaSanCristobal,2010923,"https://zenodo.org/record/1247307/files/CAM017429_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017429_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017429_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017429_d.JPG"
